EAR,MAR,Pitch,Yaw,Label
0.26989764396402693 , 0.052342392259021375 , -59571.38252220452 , 3292.9604234115313 ,0
0.2700228807834184 , 0.07669649888473705 , -60398.06537657013 , 4000.7430790751773 ,0
0.2876659114439749 , 0.12684285124078176 , -59404.717050834224 , -565.8513470971435 ,0
0.2698873193902889 , 0.07497657348060921 , -61104.762650368946 , 6304.816677264986 ,0
0.25570092195044714 , 0.024968808471946116 , -62244.574492161715 , 4231.582949753147 ,0
0.26437357986023263 , 0.09513029883089881 , -60827.451393947274 , 4887.591032826484 ,0
0.25475731694056136 , 0.17052893799693358 , -61689.3009672178 , 4965.531827724874 ,0
0.2543605507603394 , 0.14269544824634822 , -61518.045625286686 , 4496.12178118394 ,0
0.2356689520430858 , 0.18703971130759364 , -61361.874237867676 , 4893.974428160531 ,0
0.26907610225869444 , 0.09292279870493636 , -61503.71050173248 , 4412.049046938368 ,0
0.2923265304010756 , 0.12180638428352399 , -61178.75210392328 , 3394.1619916420937 ,0
0.24189627936421298 , 0.0 , -60753.5722715857 , 5477.901806557872 ,0
0.25635618391517623 , 0.0 , -61100.0979906263 , 6365.753094904523 ,0
0.2392839571281103 , 0.0 , -59131.096320148274 , 3522.252846523287 ,0
0.22275146265799053 , 0.021233384741779292 , -59489.17507720953 , 3701.4848605641864 ,0
0.23791648061064935 , 0.0 , -59931.420363457175 , 3588.967240628125 ,0
0.22284769789585857 , 0.021693045781865615 , -59653.411116647745 , 3405.657223187113 ,0
0.23906810474816528 , 0.02267462937912591 , -61226.93781839882 , 4932.219710702557 ,0
0.2760592931879482 , 0.0 , -57843.390652125556 , 4883.259861089945 ,0
0.2690501112064457 , 0.0 , -60406.2689465645 , 57.007530686791505 ,0
0.2821557735352847 , 0.0 , -60076.81379897128 , -20.162717091435567 ,0
0.27349716880875796 , 0.02364257795702247 , -60629.80564153934 , -863.3675850885335 ,0
0.27947473545337553 , 0.02427499107135649 , -59945.456205159084 , -1237.7883351478472 ,0
0.2872721939598063 , 0.0 , -59780.906068075135 , -505.0926020723704 ,0
